,brand,model,screen_size(Inches),cpu,ram(GB),operating_system,rating,price($)
2,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3,Apple,MacBook Air,13.3,Unknown,8,Mac OS,4.8,689.99
4,Apple,MacBook Air,15.3,Unknown,8,Mac OS,4.8,1144.48
5,Acer,A315-24P-R7VH,15.6,Ryzen 3,8,Windows 11 S,4.5,299.99
6,Apple,MacBook Pro,13.3,Unknown,8,Mac OS,4.7,965.08
7,Acer,CB315-3HT,15.6,Celeron N4020,4,Chrome OS,4.4,239.99
8,ASUS,ROG Strix G16,16.0,Core i7,16,Windows 11 Home,4.4,1274.03
9,acer,A515-56-347N,15.6,Core I3 1115G4,8,Windows 11 S,4.3,299.99
10,acer,AN515-58-57Y8,15.6,Core i5,16,Windows 11 Home,4.4,814.77
11,HP,Notebook,14.0,Ryzen 3 3250U,16,Windows 11,4.4,379.99
15,acer,Nitro 17,17.3,AMD Ryzen 7,16,Windows 11 Home,4.4,1199.99
16,HP,hp laptop,15.6,Intel Core i3,16,Windows 11 Home,4.2,473.0
18,ASUS,FX506HF-ES51,15.6,Core i5,8,Windows 11 Home,4.5,699.99
19,MSI,Thin GF63 12VE-066US,15.6,Core i7,16,Windows 11 Home,4.5,938.0
20,Lenovo,IdeaPad 3 81X800ENUS,15.6,Core i3,20,Windows 11,4.3,419.0
21,Lenovo,IdeaPad Gaming 3,15.6,Ryzen 5,8,Windows 11 Home,4.3,801.96
22,ASUS,ROG Strix G16,16.0,Intel Core i9,16,Windows 11 Home,4.5,1799.99
23,HP,Chromebook 14a-na0226nr,14.0,Celeron,4,Chrome OS,4.4,249.0
24,HP,TPN-I139_320M3AV,17.3,Core i3 Family,32,Windows 11 Home,4.6,510.0
25,HP,i5 12th Gen 15-dy5399nr,15.6,Core i5,16,Windows 11 Home,4.3,527.15
26,ASUS,ROG Strix G16,16.0,Core i9,32,Windows 11 Pro,4.3,2199.0
27,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
31,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
32,Lenovo,IdeaPad,14.0,Core i3 Family,20,Windows 11 Home,4.3,359.0
33,HP,HP Chromebook,14.0,Celeron N,4,Chrome OS,3.8,209.99
34,Lenovo,Ideapad 3i,15.6,Core i5,8,Windows 11 Pro,4.5,637.35
35,Dell,Inspiron,15.6,Celeron N4020,16,Windows 11 Home,4.1,439.0
36,acer,CP314-1H-P1Q5,14.0,Pentium,8,Chrome OS,4.3,372.66
37,MSI,Katana 15 B13VGK-484US,15.6,Core i7,16,Windows 11 Home,4.3,1429.0
38,Lenovo,IdeaPad 3,14.0,Core i3 Family,8,Windows 11 S,4.5,281.69
39,ASUS,ASUS Vivobook Go 15,15.6,Celeron,4,Windows 11 S,4.1,236.47
40,HP,HP Laptop 15-ef2024nr,15.0,Ryzen 3,8,Windows 11 Home,4.5,337.96
44,ASUS,UX5304VA-XS76T,13.3,Core i7,32,Windows 11 Pro,4.3,1399.99
45,ASUS,ROG Strix G15,15.6,AMD Ryzen 7,16,Windows 11 Home,4.6,1044.77
46,Lenovo,IdeaPad 3,15.6,Celeron P4500,8,Chrome OS,4.2,294.29
47,acer,"2023 Newest Acer 15.6"" Chromebook",15.6,Celeron N4020,4,Chrome OS,4.2,224.0
48,ASUS,Chromebook C425 Clamshell,14.0,Celeron N4020,4,Chrome OS,4.3,225.82
49,Lenovo,Flex 5,14.0,AMD Ryzen 5 5500U,16,Windows 11 Home,4.2,539.99
50,acer,A115-32-C96U,15.6,Celeron N,4,Windows 11 S,4.3,229.99
51,ASUS,ROG Flow Z13,13.4,Core i9,16,Windows 11 Home,4.4,1749.99
52,HP,HP,15.6,Core i3-1115G4E,16,Windows 11 Home,4.5,465.0
53,ASUS,ROG Strix SCAR 16,16.0,Core i9,32,Windows 11 Pro,4.1,3349.0
54,ASUS,ROG Strix SCAR 18,18.0,Intel Core i9,32,Windows 11 Pro,4.3,3899.0
55,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
59,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
60,LG,17Z90Q-K.ADB9U1,17.0,Core i7,32,Windows 11 Home,4.3,1734.71
61,ASUS,ROG Flow Z13,13.4,Core i9,32,Windows 11 Pro,4.2,2499.99
62,Lenovo,Chromebook,11.6,MediaTek MT8183,4,Chrome OS,4.3,114.74
63,Microsoft,Surface Laptop,15.0,Intel Core i7,16,Windows 11 Home,4.4,1084.66
64,ASUS,TUF Dash 15 (2022),15.6,Core i7,16,Windows 11 Home,4.5,1150.99
65,ASUS,TUF Gaming A15,15.6,Ryzen 7,16,Windows 11 Home,4.3,1149.0
66,HP,14-dq0070nr,14.0,Celeron N4020,4,Windows 11 S,4.3,199.99
67,ASUS,ROG Strix Scar 17,17.3,Ryzen 9,32,Windows 11 Pro,4.1,2619.99
68,acer,A3SP14-31PT-37NV,14.0,Core i3,8,Windows 11 S,4.5,426.64
72,ASUS,ASUS TUF Gaming F1,17.3,Core i5,8,Windows 11 Home,4.5,783.95
73,Lenovo,IdeaPad Flex 5i Chromebook,13.3,Core i3,8,Chrome OS,4.4,479.0
75,Dell,Dell Latitude,14.0,Core i7-8650U,16,Windows 10 Pro,4.0,399.0
76,HP,Chromebook 11 G9 EE,11.6,Celeron,4,Chrome OS,5.0,271.99
77,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
81,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
82,acer,Swift Go 14,14.0,Intel Core i7-1355U,16,Windows 11 Home,4.3,762.19
83,ASUS,VivoBook S 15,15.6,Core i9,16,Windows 11 Home,3.7,989.99
84,Apple,MacBook Pro,16.2,ARM 7100,32,macOS 12 Monterey,4.7,1899.0
85,acer,Aspire 5,15.6,AMD Ryzen 5 5500U,8,Windows 11,4.4,488.94
86,Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6,Apple M1,16,macOS 12 Monterey,4.8,1459.94
88,SAMSUNG,NP754XFG-KB1US,15.6,Core i7,16,Windows 11 Pro,4.8,1099.99
90,ASUS,Zenbook 15,15.6,Ryzen 7,32,Windows 11 Home,4.3,1299.0
95,Apple,MacBook Pro,13.0,Apple M1,16,macOS 12 Monterey,4.7,1457.99
96,HP,HP 15 scarlet red,15.6,Celeron,16,Windows 11 Home,4.3,469.0
97,Carlisle FoodService Products,ASUS VivoBook L203,11.6,Celeron N4000,4,Windows 10 S,4.2,134.9
98,Gigabyte,G5 KF-E3US333SH,15.6,Core i5,8,Windows 11 Home,4.0,879.99
99,ASUS,Vivobook 15X,15.6,Ryzen 7,16,Windows 11 Home,5.0,749.99
100,acer,Chromebook Spin,11.6,Celeron N4000,4,Chrome OS,4.5,226.0
101,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
105,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
106,ASUS,Zenbook Pro 14 Duo,14.5,Core i9,32,Windows 11 Home,4.0,2399.99
107,ASUS,ASUS Chromebook C203XA,11.6,MediaTek_MT8127,4,Chrome OS,4.3,184.62
108,MSI,Stealth 17Studio A13VH-053US,17.3,Core i9,32,Windows 11 Home,4.2,2793.89
109,Lenovo,Ideapad,15.6,Intel Core i3,8,Windows 11 Home,4.3,429.0
110,MSI,MSI GF63,15.6,Core i5 Family,16,Windows 10 Home,4.1,729.99
111,Apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6,Apple M1,16,macOS 12 Monterey,5.0,1255.94
112,HP,EliteBook 840,14.0,Core i5 6200U,16,Windows 10 Pro,4.0,1000.0
113,ASUS,ProArt StudioBook 16,16.0,Core i9,32,Windows 11 Home,3.7,2499.99
117,SAMSUNG,Chromebook 4+,15.6,Celeron N3450,4,Chrome OS,4.4,205.0
118,HP,"HP 14"" Chromebook",14.0,Core i3,8,Chrome OS,3.9,265.99
119,acer,Aspire 5,15.6,Ryzen 3 3350U,4,Windows 11,4.5,367.29
120,Razer,Razer Blade 14,14.0,Ryzen 9 7900X,16,Windows 11 Home,4.3,2699.99
121,ASUS,VivoBook 15,15.6,Core i3-1005G1,8,Windows 10 Home,4.5,379.0
122,acer,PH16-71-74UU,16.0,Intel Core i7,16,Windows 11 Home,4.5,1649.99
123,ASUS,ASUS ROG Zephyrus Duo 16,16.0,Ryzen 7,16,Windows 11 Home,4.3,1589.99
124,ASUS,Vivobook Pro 15,15.6,Ryzen 9,32,Windows 11 Home,4.6,1399.99
125,Dell,XPS9310-7321WHT-SUS,13.4,Core i7 Family,16,Windows 11 Home,4.1,1229.99
126,Dell,Dell G15 5520,15.6,Core i7 Family,16,Windows 11 Home,4.2,1129.99
129,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
132,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
133,ASUS,Vivobook 14,14.0,Core i5,8,Windows 11 Home,4.4,479.99
134,HP,HP Chromebook,16.0,AMD A Series,4,Chrome OS,4.3,94.98
135,LG,17Z90R-A.ADB9U1,17.0,Intel Core i7,32,Windows 11 Home,3.7,2296.99
136,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
137,ASUS,Vivobook 16X,16.0,Core i9,32,Windows 11 Home,3.5,1699.99
138,ASUS,VivoBook Pro 16,16.0,Core i9,16,Windows 11 Home,4.0,1484.99
139,Dell,Latitude 5000,14.0,Core i5,16,Windows 11 Pro,4.8,1666.4
140,ASUS,FX707ZC-ES53,17.3,Core i5,16,Windows 11 Home,3.5,873.0
141,HP,HP 15,15.6,Core i5,12,Windows 11 S,4.4,503.58
145,Microsoft,Surface Laptop Go 2,12.45,Intel Core i5,8,Windows 11 Home,4.4,529.0
147,Lenovo,"Lenovo 14"" Laptop",14.0,Intel Core i7,16,Windows 11,3.7,535.99
148,Lenovo,L14,14.0,Pentium,4,Windows 11 S,4.0,191.87
149,MSI,GF63 Thin,15.6,Unknown,8,Windows 10,4.6,600.51
150,Apple,MacBook Pro,16.0,Others,32,Mac OS,3.0,3059.0
151,SAMSUNG,NP964XFG-KC1US,16.0,Intel Core i7,32,Windows 11 Pro,4.0,1939.99
152,ASUS,ASUS Chromebook CX1,15.6,Celeron N3350,8,Chrome OS,4.1,247.05
153,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
157,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
158,acer,CP513-1H-S338,13.3,Snapdragon,8,Chrome OS,4.4,424.46
159,Razer,Blade 16,16.0,Intel Core i9,32,Windows 11,3.8,3611.89
160,HP,HP ENVY,15.0,Ryzen 5,32,Windows 11,4.3,685.0
161,LG,16T90Q-K.AAG6U1,16.0,Core i5,16,Windows 11 Home,4.2,1284.93
162,HP,Pavilion x360,14.0,Core i5,8,Windows 10 Home,4.5,570.0
163,HP,HP Laptop 17-cn0025nr,17.3,Intel Core i5-1135G7,8,Windows 11 Home,4.5,576.99
164,Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,14.0,Core i7 Family,32,Windows 11 Pro,5.0,1949.99
165,LG,16Z90RS-K.ADW8U1,16.0,Intel Core i7,32,Windows 11 Home,4.3,1757.57
166,HP,"HP 17.3""",17.3,Core i3,16,Windows 11,4.2,557.0
172,Lenovo,Thinkpad T480,14.0,Core i5,16,Windows 10 Pro,4.1,219.0
173,ASUS,ProArt StudioBook 16,16.0,Core i9,32,Windows 11 Home,2.5,2199.0
174,ASUS,Zenbook Pro 14 Duo,14.5,Intel Core i9,32,Windows 11 Home,4.1,2299.99
175,ASUS,VivoBook 16,16.0,Ryzen 5,8,Windows 11 Home,4.6,561.0
176,Lenovo,"Lenovo 14"" Laptop",14.0,Pentium,4,Windows 11,4.2,181.99
177,MSI,Vector GP68HX 13VH-098US,16.0,Core i9,16,Windows 11 Home,5.0,2091.05
178,ASUS,ASUS ZenBook Pro 16,16.0,Core i9,32,Windows 11 Pro,4.2,2499.0
179,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
183,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
184,HP,Chromebook 11a,11.6,MediaTek MT8183,4,Chrome OS,4.4,160.0
185,ASUS,ASUS VivoBook Go 14,14.0,Celeron,4,Windows 11 Home S,4.1,231.85
186,HP,HP Pavilion,14.0,Intel Core i5-1135G7,8,Windows 11,4.5,514.99
187,ASUS,ASUS ZenBook Pro Duo 15,15.6,Core i9,32,Windows 10 Pro,4.6,2849.0
189,Asus,ASUS BR1100,11.6,Celeron,4,Windows 10 Pro,4.1,279.99
190,Lenovo,Lenovo Ideapad,15.6,Intel Core i5-1135G7,12,Windows 11 Home,4.3,561.99
191,Lenovo,Lenovo Yoga 7i,16.0,Intel Core i5,8,Windows 11 Home,4.1,682.0
195,Dell,Inspiron 14 5425,14.0,AMD Ryzen 7,8,Windows 11 Pro,4.1,542.95
196,LENOVO,ThinkPad,14.0,Intel Core i7,16,Windows 10 Pro,4.2,1249.0
197,SAMSUNG,Galaxy Chromebook,13.3,Core i5-10210U,8,Chrome OS,4.2,643.0
198,acer,CB317-1H-C6RK,17.3,Celeron N,4,Chrome OS,3.5,328.67
199,Dell,Inspiron 15 3530,15.6,Core i7 Family,64,Windows 11 Home,4.2,1000.0
201,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
204,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
205,LG,15Z90RT-K.ADB9U1,16.0,Intel Core i7,32,Windows 11 Home,4.7,1899.0
208,HP,17-cn0003dx,17.3,Intel Core i3,32,Windows 11,4.0,619.99
209,Lenovo,e15,13.0,8032,8,Windows 10 Pro,4.5,799.0
210,Dell,XPS 13 9315,13.4,Core i7,32,Windows 11 Pro,2.8,1126.85
213,Lenovo,82XQ001GUS,15.6,AMD Ryzen 3 2300X,8,Windows 11 Home,5.0,499.0
214,Lenovo,Lenovo ideapad Flex 5,14.0,Ryzen 5 5500U,16,Windows 11,4.4,622.04
215,Dell,Latitude,15.6,Core i5,8,Windows 11 Pro,5.0,748.47
219,Dell,XPS 13 9320,13.4,Core i7,16,Windows 11 Pro,5.0,1305.17
220,Razer,Blade 15,15.6,Intel Core i7 12800H,16,Windows 11 Home,4.2,1659.68
221,HP,HP Notebook 15-dy1731ms,15.6,Intel Core i3,8,Windows 10,4.5,377.0
222,Lenovo,Newest Flagship Lenovo Chromebook,14.0,Cortex,4,Chrome OS,4.2,299.0
223,DELL,Latitude 5530,15.6,Core i5 Family,32,Windows 11 Pro,5.0,939.99
226,acer,AN16-41-R5KC,16.0,Ryzen 9,16,Windows 11 Home,5.0,1649.99
227,ASUS,Zephyrus Duo,16.0,Ryzen 9,32,Windows 11 Pro,3.5,3849.99
228,ASUS,ASUS Laptop L210,11.6,Celeron,4,Windows 11 S,4.0,252.54
231,HP,Pavilion X360,14.0,Core i5-1130G7,8,Windows 11 Home,4.6,499.99
232,LG,16Z90Q-R.AAS8U1,16.0,Core i7,16,Windows 11 Home,4.5,1612.99
233,SAMSUNG,Samsung Chromebook,12.2,Celeron,4,Chrome OS,4.5,447.95
234,LENOVO,IdeaPad,15.6,Core i3,20,Windows 11 Home,4.4,487.0
237,Lenovo,2022,13.3,Others,4,Chrome OS,4.1,433.99
238,HP,6M0Z7UA#ABA,15.6,Intel Core i5-1135G7,16,Windows 11 Home,4.3,520.0
239,LG,17Z90R-K.AAB8U1,17.0,Intel Core i7,16,Windows 11 Home,4.0,1399.99
240,Dell,Latitude,15.6,Core i7,16,Windows 11 Pro,5.0,1428.96
244,HP,HP Pavilion x360,14.0,Core i5,8,Windows 11 Home,4.2,608.0
245,LG,16Z90R-A.ADB9U1,16.0,Intel Core i7,32,Windows 11 Home,4.1,1896.99
246,ASUS,TUF Gaming F15,15.6,Core i5,16,Windows 11 Home,4.3,999.0
247,Asus,Vivobook,14.0,Core i3,8,Windows 11,4.4,357.5
248,MSI,Pulse GL66,15.6,Core i7,16,Windows 11 Home,4.5,1465.8
249,LG,16Z90RS-K.AAW7U1,16.0,Intel Core i7,16,Windows 11 Home,2.9,1799.0
251,HP,Chromebook,14.0,Celeron N,4,Chrome OS,4.5,150.0
252,LG,14Z90RS-K.ADW9U1,14.0,Intel Core i7,32,Windows 11 Home,4.2,1796.99
257,Dell,Alienware m15 R5 Ryzen Edition Laptop,15.6,AMD Ryzen 7,16,Windows 11 Home,4.0,1497.99
258,ASUS,Vivobook S 14 Flip OLED,14.0,Ryzen 7 5800H,16,Windows 11 Home,4.1,1099.99
259,HP,HP Victus,15.6,Ryzen 5,16,Windows 11 Home,3.4,699.0
260,HP,HP,14.0,Celeron,4,Chrome OS,4.1,239.0
261,Microsoft,Surface Laptop 4,13.5,Core i7,16,Windows 10 Pro,5.0,1198.99
263,Dell,Latitude 7000,13.3,Core i5,16,Windows 11,4.6,1680.56
266,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
267,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
270,ASUS,Asus,14.0,Celeron,4,Windows 10,4.2,129.99
271,acer,SFX14-51G-71Y1,14.0,Intel Core i7,16,Windows 11 Home,4.2,886.37
272,SAMSUNG,XE530QDA-KB1US,13.3,Core i3,16,Chrome OS,4.4,729.0
273,HP,Elitebook 840 G3,14.0,Athlon,8,Windows 10 Pro,4.0,159.99
274,HP,HP Pavilion,15.6,AMD Ryzen 7,32,Windows 11,4.1,732.0
277,Lenovo,Lenovo Ideapad 3,15.6,Celeron N4000,4,Windows 10 Home,4.1,185.95
278,acer,CB314-1H-C884,14.0,Celeron N,4,Chrome OS,4.4,204.0
279,acer,A517-52-75N6,17.3,Intel Core i7,16,Windows,4.0,699.99
282,ASUS,TP470EA-AS34T,14.0,Core i3,4,Windows 10 S,4.3,460.48
287,Lenovo,ideapad,14.0,Celeron N4020,4,Windows 11,4.2,220.69
288,acer,AN16-41-R1WE,16.0,AMD Ryzen 7,16,Windows 11 Home,5.0,1241.46
289,Lenovo,ideapad3i-14-i5,14.0,Core i5-10210U,8,Windows 11 Home,4.2,443.0
290,HP,"2023 Newest HP 14"" Chromebook",14.0,Celeron N,4,Chrome OS,4.2,225.0
291,Panasonic,Panasonic Toughbook,14.0,Core i5,16,Windows 10,3.6,655.96
294,Dell,Inspiron,15.6,Core i5,32,Windows 11 Pro,5.0,689.65
295,ASUS,"17.3"" Chromebook",17.3,Pentium Other,4,Chrome OS,4.0,246.0
297,HP,EliteBook 655 G9,15.6,Ryzen 5,16,Windows 10 Pro,5.0,1137.02
300,ASUS,CXB170CK,17.3,Celeron,4,Chrome OS,4.5,247.36
301,acer,AN515-58-725A,15.6,Core i7,16,Windows 11 Home,4.6,1199.0
302,acer,Acer Aspire 3,15.6,Ryzen 5,8,Windows 11 Home,4.3,450.0
303,ASUS,S5402ZA-IS74,14.5,Core i7,12,Windows 11 Home,3.8,689.49
305,ASUS,VivoBook S15,15.6,Intel Core i7-1165G7,16,Windows 11,5.0,901.56
306,ASUS,VivoBook Pro 16,16.0,Core i9,16,Windows 11 Home,4.0,1399.99
309,ASUS,ASUS Chromebook Flip CX3,14.0,Intel Core i7,16,Chrome OS,3.9,979.99
310,ASUS,VivoBook Pro 15,15.6,Intel Core i7,16,Windows 11 Home,5.0,1259.99
311,SAMSUNG,Galaxy Book Go,14.0,Snapdragon,4,Windows 11 Home,4.3,345.0
313,Panasonic,CF-31 MK5,13.1,Core i5 5300U,8,Windows 10,4.1,420.0
316,Dell,Latitude 5000,14.0,Core i7,16,Windows 10 Pro,4.8,1658.99
317,Toughbook,Panasonic Toughbook,13.1,Core i5 7200U,16,Windows 10 Pro,4.8,1550.99
318,HP,HP ProBook,11.6,Celeron,4,Windows 10 Pro,4.1,245.0
319,ASUS,VivoBook Pro 16,16.0,Core i9,16,Windows 11 Home,3.0,1646.99
323,Lenovo,"Lenovo Ideapad 1 (14"", intel)",14.0,Celeron N4020,4,Windows 11,4.2,195.0
324,HP,1A1L3UA,15.6,Ryzen 3 3250U,4,Windows 10 Home,3.8,269.0
325,Dell,Latitude 5530 Laptop,15.6,Core i7,16,Windows 11 Pro,5.0,1349.99
326,Dell,Latitude 3000,14.0,Core i5 Family,8,Windows 10 Pro,3.9,835.85
327,ASUS,ASUS Chromebook,12.0,MediaTek MT8183,4,Chrome OS,4.2,278.97
330,Dell,XPS 15 9520,15.6,Core i7,16,Windows 11 Pro,4.8,1576.57
332,Gigabyte,AORUS 17X AZF-C5US665SP,17.0,Core i9,32,Windows 11 Pro,5.0,3499.99
334,Lenovo,"Lenovo Ideapad Gaming 3i 15""",15.6,Core i7,8,Windows 11 Home,4.3,934.0
335,acer,Acer 315,15.6,1.2GHz Cortex A8 Processor,4,Chrome OS,4.3,129.99
339,acer,Nitro 5,17.3,Core i5,32,Windows 11 Home,4.5,1259.0
344,Corsair,VOYAGER a1600,16.0,Ryzen 9,32,Windows 11 Home,2.6,1699.99
346,ASUS,Chromebook C423,14.0,Celeron N,4,Chrome OS,4.9,283.55
347,Panasonic,CF-53 MK4,14.0,Core i5 4310M,16,Windows 10 Pro,3.6,658.94
348,Alienware,Alienware m15 R7,15.6,Core i7 Family,16,Windows 11 Home,4.0,1599.0
349,Dell,Precision 5770,17.0,Core i7 Family,32,Windows 11 Pro,5.0,2475.0
350,Apple,MacBook Air,13.0,Apple M1,8,Mac OS,4.8,1178.0
354,ASUS,Vivobook S 16 Flip,16.0,Ryzen 5,8,Windows 11 Home,4.1,699.99
355,SAMSUNG,Galaxy Book Pro,15.6,Intel Core i7,16,Windows 10,4.1,1177.42
356,HP,Laptop 15-ef0021nr,15.6,Ryzen 3 3200U,8,Windows 10 Home,4.4,346.9
357,ASUS,VivoBook Pro 15X OLED,15.6,Core i7,16,Windows 11 Home,3.5,1530.63
358,ASUS,ASUS Chromebook CX9,14.0,Intel Core i7,16,Chrome OS,3.8,1211.99
359,HP,15-dy2035tg,15.6,Core i3,8,Windows 10 S,4.3,423.99
360,MSI,Pulse 15 B13VFK-1263US,15.6,Core i7,32,Windows 11 Pro,3.0,1499.0
361,acer,SF514-56T-797T,14.0,Core i7,16,Windows 11 Home,3.9,1406.88
366,ASUS,VivoBook S15,15.6,Intel Core i5-1135G7,8,Windows 10,4.3,606.15
367,MSI,Katana 15 B13VGK-1007US,15.6,Core i9,32,Windows 11 Home,5.0,1899.0
374,HP,HP Envy,14.0,Core i5,8,Windows 11 Home,4.5,629.49
376,Dell,Inspiron,15.6,Core i5,16,Windows 11 Pro,4.7,649.0
377,Lenovo,Lenovo Thinkpad,13.0,Athlon,4,Chrome OS,4.1,195.99
378,ASUS,TUF Dash 15 (2021),15.6,Core i7,8,Windows 10 Home,4.5,940.47
381,AWOW,VT11,11.6,Celeron,6,Windows 11,3.5,308.42
382,ASUS,Vivobook Pro 16X,16.0,Core i9,16,Windows 11 Home,4.2,1799.99
384,MSI,Modern 15 B7M-223US,15.6,Ryzen 7,16,Windows 11 Pro,5.0,799.0
386,MSI,Raider GE68HX,16.0,Intel Core i9,32,Windows 11 Home,5.0,1743.0
388,ASUS,Chromebook Detachable CM3,10.5,MediaTek MT8183,4,Chrome OS,4.1,349.95
392,HP,Pavilion,14.0,Core i3,8,Windows 11 S,5.0,428.45
393,SAMSUNG,Wifi,14.0,Celeron,8,Chrome OS,4.1,349.99
395,ASUS,Vivobook 15X,15.6,Ryzen 5,8,Windows 11 Home,4.8,619.99
396,Dell,Latitude,14.0,Core i5,16,Windows 11 Pro,3.9,691.53
401,ASUS,Expertbook B9,14.0,Intel Core i7,32,Windows 11 Pro,1.0,1947.99
402,HP,14a-ca0022nr,14.0,Pentium N5000,4,Chrome OS,4.5,259.95
403,Lenovo,20UXS06900,13.3,Athlon,4,Chrome OS,4.5,245.0
406,Gigabyte,AORUS 15X ASF-D3US754SH,15.6,Core i9,16,Windows 11 Home,4.1,2099.99
408,Lenovo,IdeaPad 3 15ITL6,15.6,Core i5 Family,12,Windows 10 Home,4.3,508.0
410,Microsoft,Surface Pro,12.3,8032,8,Windows 10 Home,4.4,624.99
411,Dell,DELL XPS 15 9520,15.6,Core i7,32,Windows 11 Pro,2.3,1689.18
414,Dell,Latitude 9000,14.0,Core i7,16,Windows 10 Pro,3.6,1029.99
415,HP,Pavilion,14.0,Ryzen 3 3250U,8,Windows 11,4.3,313.0
416,ASUS,Vivobook 15,15.6,Ryzen 5,8,Windows 11 Home,5.0,699.99
418,ASUS,ASUS VivoBook 15,15.6,Ryzen 5 3500U,8,Windows 10 Home,4.5,548.0
421,Lenovo,IdeaPad 3 15ITL05,15.6,Core i3 Family,8,Windows 11,4.3,389.0
422,Lenovo,Lenovo Chromebook Duet,10.1,MediaTek Helio P60T,4,Chrome OS,4.4,349.0
423,ASUS,Zenbook Pro 17,17.3,Ryzen 7,8,Windows 11 Home,4.3,999.99
425,Dell,Precision 5000,15.6,Core i7,32,Windows 10 Pro,2.0,2387.94
429,Toughbook,CF-33 MK1,12.0,Intel Core i5,8,Windows 10 Pro,5.0,993.99
430,Microsoft,Laptop 4 15 R7se/8GB/512GB Platinum,15.0,Ryzen 7,8,Windows 10 Home,4.9,858.98
431,ASUS,ZenBook S,13.9,Intel Core i7,1,Windows 10 Pro,4.1,1399.9
432,Lenovo,ThinkPad X1 Carbon Gen 10,14.0,Core i7,16,Windows 11,4.2,2079.99
433,MSI,Prestige 13Evo A13M-050US,13.3,Core i7,32,Windows 11 Pro,4.3,1299.0
439,ASUS,ASUS Chromebook,17.3,Celeron N,4,Chrome OS,4.0,259.99
440,Dell,Latitude 3000,14.0,Core i5 Family,8,Windows 10 Pro,5.0,899.0
