,brand,model,screen_size(Inches),cpu,ram(GB),operating_system,rating,price($)
2824,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2825,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2827,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2828,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2831,Dell,XPS 9520 Laptop,15.6,Core i7,16,Windows 11 Pro,3.3,1752.99
2835,MSI,WS66 10TMT-207,15.6,Core i9,64,Windows 10 Pro,4.7,7399.0
2837,HP,Pavilion,15.0,Core i7,32,Windows 11 Pro,5.0,1299.0
2839,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2840,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2842,Dell,Dell Latitude,15.6,Core i5,8,Windows 10 Pro,5.0,210.0
2843,HP,ZBook Fury 15 G8,15.6,Core i9,64,Windows 10 Pro,1.0,4999.0
2845,Dell,XPS 13,13.3,Core i7,8,Windows 8,3.4,999.0
2846,Dell,XPS,13.3,Core i5,8,Windows 10,3.6,899.81
2855,HP,HP Pavilion 16,16.1,Core i7,32,Windows 10 Pro,3.0,2299.0
2859,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2860,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2864,Dell,XPS 9315 Laptop,13.4,Core i7,16,Windows 11 Home,4.0,1041.99
2865,HP,HP Omen,15.6,Ryzen 7 4800H,16,Windows 10 Home,4.1,1999.0
2868,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2869,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2872,Dell,XPS,15.6,Intel Core i9,64,Windows 10 Home,3.5,2860.99
2874,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2875,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2879,Dell,Latitude,14.0,Core i5 Family,32,Windows 11 Pro,1.0,1328.99
2881,Gigabyte,A5 X1-CUS2130SB,15.6,AMD Ryzen 9 5900X,16,Windows 11 Home,4.0,1749.0
2888,HP,HP ProBook,15.6,Core i5,16,Windows 10 Pro,5.0,899.0
2892,Dell,Precision 7560 Laptop,15.6,Core i7,32,Windows 11 Pro,1.0,2061.99
2896,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2897,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2902,Dell,Latitude 15 5000 e5570,15.6,Core i5,4,Windows 7 Professional,5.0,260.0
2903,Dell,G15 5525 Laptop,15.6,AMD Ryzen 7,16,Windows 11 Home,5.0,1386.99
2904,HP,Spectre 14T x360,13.5,Core i7 Family,16,Windows 11 Pro,4.1,2199.0
2907,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2908,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2914,Dell,Inspiron,15.6,Celeron N4020,16,Windows 11 Pro,3.6,888.99
2918,MSI,PRESTIGE15A211,15.6,Core i7,32,Windows 10 Pro,4.0,2699.0
2921,MSI,Creator Z16 Fujiwara Hiroshi Limited Edition A11UE-226,16.0,Core i7,16,Win 10 Pro / Free upgrade to Win 11,5.0,1979.0
2925,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2926,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2928,Dell,Dell XPS,15.6,Core i9,16,Windows 10 Pro,3.4,1999.0
2936,Dell,Latitude Rugged 5424 Laptop,14.0,Core i7,32,Windows 10 Pro,5.0,1599.99
2944,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2945,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2949,Alienware,Alienware 15,15.6,Core i5,8,Windows 8,3.4,999.95
2951,Alienware,Alienware m15,15.6,Core i7 Family,16,Windows 10 Home,4.1,1199.95
2952,Dell,N763T,13.3,Intel Core i5,8,Windows 10 Pro,5.0,1499.0
2957,Lenovo,ThinkPad P1,15.6,Intel Core i7,16,Windows 10 Pro,1.0,1999.0
2959,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2960,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2964,HP,Hp envy x360 13,13.3,Core i5,8,Windows 10,4.3,399.99
2965,SAMSUNG,"Samsung 11.6""",11.6,Intel Atom,2,Chrome OS,4.1,169.0
2968,Lenovo,Lenovo Thinkpad,15.6,8032,16,Windows 10 Pro,4.8,1798.95
2969,ASUS,GA502IV-XS76,15.6,Ryzen 7 4800H,16,Windows 10 Pro,4.4,2299.0
2974,Dell,Latitude 5420,14.0,Core i5 Family,16,Windows 10 Pro,5.0,1182.71
2975,Dell,XPS 13 7390,13.3,Core i7 Family,16,Windows 10 Home,4.0,1799.0
2977,ASUS,UX390UA-DH51-GR,12.5,Core i5,8,Windows 10,3.6,999.0
2982,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2983,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2986,Lenovo,IdeaPad,15.6,Intel Core i3,8,Windows 10,4.2,499.99
2987,asus,ASUS VivoBook,15.6,AMD A Series,8,Windows 10 Home,3.7,1699.0
2989,ASUS,VivoBook S15,15.6,Core i7-8650U,12,Windows 10 Home,3.9,1499.0
3005,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3006,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3008,Gigabyte,AORUS 15P YD-73US344SH,15.6,Intel Mobile CPU,32,Windows 10 Home,4.1,2399.0
3009,MSI,GP65 Leopard 10SDK-049,15.6,Intel Core i7,16,Windows 10 Home,4.4,1999.0
3010,Alienware,AWm17-7667SLV-PUS,17.3,Core i7 8750H,16,Windows 10 Home,4.2,2499.0
3012,DELL,G5 15 Gaming,15.6,Core i7,16,Windows 10,4.5,1699.0
3019,Dell,Vostro 3520 Laptop,15.6,Core i7,16,Windows 10 Pro,5.0,943.69
3024,acer,Nitro 5,15.6,Core i5,64,Windows 11 Pro,5.0,1086.16
3028,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3029,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3033,Dell,Dell Latitude 5520,15.6,Intel Core i5 1145G7,32,Windows 10 Pro,5.0,1038.28
3041,MSI,GF75 Thin 10SER-257,17.3,Core i7,16,Windows 10 Home,4.2,1999.0
3042,Dell,XPS,17.0,Core i7 Family,64,Windows 11 Pro,5.0,3785.54
3045,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3046,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3048,Dell,Latitude,15.6,Core i5,8,Windows 11 Pro,4.5,885.99
3050,Dell,Dell Inspiron 15 3525,15.6,AMD R Series,64,Windows 11,5.0,1021.99
3053,Microsoft,Surface Laptop Go 2,12.4,Intel Core i5,8,Windows 10,3.5,689.99
3060,XAMMUE,One Netbook T1,13.0,Core i7,16,Windows 11 Home,3.9,1219.99
3067,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3068,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3070,Dell,Precision 7740 Laptop,17.3,Core i7,16,Windows 10 Pro,5.0,2004.99
3073,Dell,Precision 7740 Laptop,17.3,Core i7,32,Windows 10 Pro,4.5,2808.99
3074,Dell,Precision 7000,17.3,Core i7,32,Windows 10 Pro,5.0,3461.33
3082,JTD,Fire,15.6,Ryzen 9,32,Windows 10 Pro,4.3,2889.99
3083,Lenovo,E15,15.6,Core i5,8,Windows 10 Pro,1.0,290.98
3087,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3088,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3091,HP,hp 15 pentium,15.6,Pentium N3540,4,Windows 10,4.0,449.99
3092,Razer,Blade 15,15.6,Core i7 Family,16,Windows 10,4.2,3299.99
3093,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3094,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3096,HP,HP Spectre,13.3,Core i7,8,Windows 10 Home,4.2,1899.0
3097,SAMSUNG,Samsung Chromebook,11.6,Celeron,4,Chrome OS,4.1,289.0
3099,Lenovo,Lenovo Ideapad,14.0,Celeron,2,Windows 10,3.4,239.0
3100,Dell,Dell Inspiron i3000,11.6,AMD A Series,4,Windows 10 Home,3.4,299.0
3101,Alienware,Alienware m 17,17.0,Core i7 Family,16,Windows 10 Home,4.0,1699.95
3105,ASUS,GL703GS-DS74,17.3,Intel Core i7,16,Windows 10 Home,3.8,2299.0
3106,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3107,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3111,HP,HP,15.6,Intel Core i7,16,Windows 10 Home,4.2,1999.0
3112,Alienware,Alienware M15,15.6,Core i7 8750H,16,Windows 10 Home,4.1,1599.95
3113,ASUS,VivoBook S15 S530,15.6,Intel Core i5,8,Windows 10 Home,4.0,1399.0
3117,Dell,Latitude,15.6,Core i5,16,Windows 10 Pro,4.0,1373.29
3118,MSI,GE76238,17.3,Core i7,32,Windows 10 Home,4.5,4299.0
3122,Dell,Dell XPS,17.0,Core I7 11800H,32,Windows 10,3.7,2897.0
3126,Lenovo,Lenovo Ideapad,11.6,Celeron,32,Windows 10,3.5,320.0
3128,MSI,Prestige 15 A10SC-011,15.6,Intel Core i7,16,Windows 10 Pro,4.2,2399.0
3129,Lenovo,Lenovo_i3_8GB_Red,15.6,Core i3 Family,8,Windows 10,4.1,458.8
3130,HP,HP,14.0,Core i3,4,Windows 10 Home,4.4,439.0
3134,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3135,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3137,ASUS,GL703GM-DS74,17.3,Intel Core i7,16,Windows 10 Home,4.2,1999.0
3138,Lenovo,20GB000LUS,11.6,Celeron,8,Windows 10 Pro 64-Bit,3.5,224.99
3139,ASUS,ASUS ZenBook,13.9,8032,16,Windows 10 Pro,4.2,1699.0
3142,Lenovo,Legion,15.6,Core i7,32,Windows 10,4.9,2499.0
3143,ASUS,UX490UA-XH74-BL,14.0,8032,16,Windows 10 Pro,3.3,1599.0
3145,HP,Omen,15.6,Core i7,16,Windows 10 Home,4.4,1999.0
3149,HP,HP Spectre,15.6,Core i7,16,Windows 10 Pro,4.0,2399.0
3150,ASUS,ZenBook Pro 15,15.6,Core i7,16,Windows 10 Pro,4.1,2399.0
3152,Lenovo,Lenovo Legion,15.6,Core I7 11800H,32,Windows 11 Home,4.6,2299.0
3153,Apple,MacBook Air,13.0,Core i5,8,macOS 10.12 Sierra,4.4,1248.0
3155,Dell,XPS 13 (9360),13.3,Core i5,8,Windows 10,3.2,724.81
3156,Lenovo,Flex 15,15.6,Core i7,8,Windows 10,4.5,659.9
3160,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3161,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3163,ASUS,ZenBook Pro,15.6,Core i7,8,Windows 10 Pro,3.7,1499.0
3164,Lenovo,Lenovo ThinkPad,14.0,1.2GHz Cortex A8 Processor,8,Windows 10,4.2,499.0
3167,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3168,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3170,Dell,XPS,15.6,Core i7 Family,32,Windows 10 Home,3.2,1799.81
3171,Dell,Dell Inspiron,15.6,Intel Core i5,32,Windows 10 Home,4.4,745.99
3172,Lenovo,Lenovo Ideapad,10.0,8032,8,Windows 10 Home,4.4,495.0
3173,Lenovo,ThinkPad X1 Extreme,15.6,Intel Core i7,16,Windows 10 Pro,3.6,2299.0
3174,HP,HP 255 G5,15.6,AMD A Series,8,Windows 10 Home 64,3.6,429.99
3185,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3186,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3197,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3198,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3210,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3211,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3242,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3243,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3251,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3252,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3282,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3283,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3292,Dell,Latitude Rugged Extreme 7330 Laptop,13.3,Core i5,8,Windows 11 Pro,5.0,2031.8
3314,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3315,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3345,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3346,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3375,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3376,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3406,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3407,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3425,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3426,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3446,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3447,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3479,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3480,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3510,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3511,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3541,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3542,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3572,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3573,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3604,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3605,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3613,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3614,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3627,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3628,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3633,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3634,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3664,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3665,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3690,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3691,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3720,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3721,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3730,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3731,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3750,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3751,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3765,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3766,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3797,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3798,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3824,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3825,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3855,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3856,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3858,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3859,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3889,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3890,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3898,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3899,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3908,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3909,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3938,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3939,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3967,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3968,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
3995,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
3996,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4024,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4025,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4054,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4055,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4083,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4084,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4112,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4113,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4142,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4143,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4169,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4170,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4197,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4198,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4225,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4226,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4248,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4249,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4274,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4275,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4291,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4292,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4295,Lenovo,Legion 5,15.6,Ryzen 7,16,Windows 11 Pro,5.0,2169.99
4303,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4304,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4322,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4323,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4343,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4344,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4364,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4365,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4373,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4374,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4386,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4387,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4401,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4402,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4424,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4425,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4432,Dell,Latitude 7420 Laptop,14.0,Core i7,16,Windows 10 Pro,4.0,1528.99
4438,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4439,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
4440,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
4441,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
